isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,sector
INE655D01025,532455,SHALIWIR,,,,Shalimar Wires Industries,,SHALIWIR,
INE655P01029,538860,PANAFIC,,,,Panafic Industrials,,PANAFIC,
INE655V01019,540358,RMC,,,,RMC Switchgears,,RMC,
INE656B01027,530095,PRADHIN,,,,Pradhin,,PRADHIN,
INE657D01021,507998,SIMMOND,,,,Simmonds Marshall,,SIMMOND,
INE658D01011,513472,SIMPLEXCAS,,,,Simplex Casting,,SIMPLEXCAS,
INE658G01014,532604,SALSTEEL,,SALSTEEL,,SAL Steel,,SALSTEEL,
INE658T01017,544536,WEALTH,,WEALTH,,Wealth First Portfolio Managers,,WEALTH,
INE659A01023,506655,SUDARSCHEM,,SUDARSCHEM,,Sudarshan Chemical Industries,,SUDARSCHEM,
INE659F01014,524238,GUJINJEC,,,,Gujarat Inject,,GUJINJEC,
INE660A01013,590071,SUNDARMFIN,,SUNDARMFIN,,Sundaram Finance,,SUNDARMFIN,
INE660B01011,531158,CATVISION,,,,Catvision Products,,CATVISION,
INE660C01027,501150,CENTRUM,,CENTRUM,,Centrum Capital,,CENTRUM,
INE660D01017,514302,VIPPYSP,,,,Vippy Spinpro,,VIPPYSP,
INE661D01015,531668,VISIONCO,,,,Vision Corp,,VISIONCO,
INE661F01010,539434,BRIPORT,,,,Brilliant Portfolios,,BRIPORT,
INE661I01014,532930,BGRENERGY,,BGRENERGY,,BGR Energy Systems,,BGRENERGY,
INE661K01010,512479,VIRYA,,,,Virya Resources,,VIRYA,
INE661M01016,511391,INTRGLB,,,,Inter Globe Finance,,INTRGLB,
INE661Q01017,538918,VANICOM,,,,Vani Commercials,,VANICOM,
INE662A01027,521180,SUPERSPIN,,SUPERSPIN,,Super Spinning Mills,,SUPERSPIN,
INE662D01013,526431,WELTI,,,,Welterman International,,WELTI,
INE663A01033,500405,SPLPETRO,,SPLPETRO,,Supreme Petrochem,,SPLPETRO,
INE663B01015,522295,CONTROLPR,,CONTROLPR,,Control Print,,CONTROLPR,
INE663F01032,532777,NAUKRI,,NAUKRI,,Info Edge,,NAUKRI,
INE663P01015,538351,AFEL,,,,AF Enterprises,,AFEL,
INE664D01019,509438,BENARAS,,,,Benares Hotels,,BENARAS,
INE664N01018,512377,MAGANTR,,,,Magnanimous Trade & Finance,,MAGANTR,
INE664X01025,514236,TTLEL,,,,TTL Enterprises,,TTLEL,
INE665A01038,503310,SWANCORP,,SWANCORP,,Swan Corp,,SWANCORP,
INE665D01016,532230,BENGALT,,,,Bengal Tea & Fabrics,,BENGALT,
INE665J01013,534976,VMART,,VMART,,V Mart Retail,,VMART,
INE665L01035,541578,VARROC,,VARROC,,Varroc Engineering,,VARROC,
INE666D01022,502219,BORORENEW,,BORORENEW,,Borosil Renewables,,BORORENEW,
INE666E01020,532141,ACL,,ACL,,Andhra Cements,,ACL,
INE666Q01016,540204,EIKO,,,,EIKO Lifesciences,,EIKO,
INE666Y01010,542013,DOLFIN,,,,Dolfin Rubbers,,DOLFIN,
