isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,sector
INE001B01026,530813,KRBL,,KRBL,,KRBL,,KRBL,
INE001E01012,530331,PREMCO,,,,Premco Global,,PREMCO,
INE001F01019,513303,MDRNSTL,,,,Modern Steels,,MDRNSTL,
INE001O01029,530251,RISAINTL,,,,Risa International,,RISAINTL,
INE002A01018,500325,RELIANCE,,RELIANCE,,Reliance Industries,,RELIANCE,
INE002B01016,532344,SOFTSOL,,,,Softsol,,SOFTSOL,
INE002E01010,538992,SAPL,,,,SAR Auto Products,,SAPL,
INE002L01015,533206,SJVN,,SJVN,,SJVN,,SJVN,
INE002S01010,539957,MGL,,MGL,,Mahanagar Gas,,MGL,
INE003A01024,500550,SIEMENS,,SIEMENS,,Siemens,,SIEMENS,
INE003B01014,530259,INTSTOIL,,,,Inter State Oil Carrier,,INTSTOIL,
INE003F01015,501477,MULLER,,,,Muller & Phipps,,MULLER,
INE004A01022,544021,PROTEAN,,PROTEAN,,Protean e-Gov Technologies,,PROTEAN,
INE004C01028,514386,GUJCOTEX,,,,Gujarat Cotex,,GUJCOTEX,
INE004E01016,524727,SDL,,,,Span Divergent,,SDL,
INE004Z01011,541973,MACH,,,,Mac Hotels,,MACH,
INE005B01027,532406,AVANTEL,,AVANTEL,,Avantel,,AVANTEL,
INE005C01017,531215,RTSPOWR,,,,RTS Power Corporation,,RTSPOWR,
INE005E01013,531364,EKANSH,,,,Ekansh Concepts,,EKANSH,
INE005G01026,539559,DDIL,,,,Deep Diamond,,DDIL,
INE005I01014,532828,AMDIND,,AMDIND,,Amd Industries,,AMDIND,
INE006C01015,511728,KZLFIN,,,,KZ Leasing & Finance,,KZLFIN,
INE006F01018,523242,NBFOOT,,,,NB Footwear,,NBFOOT,
INE006I01046,532830,ASTRAL,,ASTRAL,,Astral,,ASTRAL,
INE006Z01016,205428,ARVEE,,ARVEE,,Arvee Laboratories,,ARVEE,
INE007A01025,500092,CRISIL,,CRISIL,,CRISIL,,CRISIL,
INE007B01023,532285,GEOJITFSL,,GEOJITFSL,,Geojit Financial Services,,GEOJITFSL,
INE007C01021,526445,INDRANIB,,,,Indrayani Biotech,,INDRANIB,
INE007G01014,526795,MHSGRMS,,,,Mahasagar Travels,,MHSGRMS,
INE007N01010,544027,FEDFINA,,FEDFINA,,Fedbank Financial Services,,FEDFINA,
INE008A01015,500116,IDBI,,IDBI,,IDBI Bank,,IDBI,
INE008B01013,524288,AIMCOPEST,,,,Aimco Pesticides,,AIMCOPEST,
INE008C01011,526640,RAYALEMA,,,,Royale Manor Hotels & Industries,,RAYALEMA,
INE008Z01020,210337,SRPL,,SRPL,,Shree Ram Proteins,,SRPL,
INE009A01021,500209,INFY,,INFY,,Infosys,,INFY,
INE009C01019,514442,SRIKPRIND,,,,Sri KPR Industries,,SRIKPRIND,
INE009U01011,539864,GHUSHINE,,,,Ghushine Fintrrade Ocean,,GHUSHINE,
INE00C401011,210659,MAL$,,MAL,,Mangalam Alloys,,MAL$,
INE00C501018,201064,AMBANIORGO,,AMBANIORGO,,Ambani Orgochem,,AMBANIORGO,
INE00CA01015,542233,TREJHARA,,TREJHARA,,Trejhara Solutions,,TREJHARA,
INE00CE01017,202807,SVLL,,SVLL,,Shree Vasu Logistics,,SVLL,
INE00CX01017,542503,MAHIP,,,,Mahip Industries,,MAHIP,
INE00D001018,208145,REXPIPES,,REXPIPES,,Rex Pipes & Cables,,REXPIPES,
INE00E101023,543653,BIKAJI,,BIKAJI,,Bikaji Foods International,,BIKAJI,
INE00EM01016,541352,MEGASTAR,,MEGASTAR,,Megastar Foods,,MEGASTAR,
INE00ER01015,210749,ONDOOR,,ONDOOR,,On Door Concepts,,ONDOOR,
INE00EV01017,543517,HARIOMPIPE,,HARIOMPIPE,,Hariom Pipe Industries,,HARIOMPIPE,
INE00F201020,543527,PRUDENT,,PRUDENT,,Prudent Corporate Advisory Services,,PRUDENT,
INE00F301010,200766,UWCSL,,UWCSL,,Ultra Wiring Connect,,UWCSL,
INE00FF01025,543349,ACUTAAS,,ACUTAAS,,Acutaas Chemicals,,ACUTAAS,
INE00FM01013,523186,BAPACK,,,,B&A Packaging,,BAPACK,
INE00GK01023,544310,YASHHV,,,,Yash Highvoltage,,YASHHV,
INE00H001014,544285,SWIGGY,,SWIGGY,,Swiggy,,SWIGGY,
INE00HZ01011,526125,BNAGROCHEM,,,,BN Agrochem,,BNAGROCHEM,
INE00IK01029,210546,OSWALSEEDS,,OSWALSEEDS,,ShreeOswal Seeds And Chemicals,,OSWALSEEDS,
INE00IN01015,543260,STOVEKRAFT,,STOVEKRAFT,,Stove Kraft,,STOVEKRAFT,
INE00IY01012,541778,DEEP,,,,Deep Polymers,,DEEP,
INE00KV01022,209275,RAJMET,,RAJMET,,Rajnandini Metal,,RAJMET,
INE00LM01029,211563,SONAMLTD,,SONAMLTD,,Sonam,,SONAMLTD,
INE00LO01017,543276,CRAFTSMAN,,CRAFTSMAN,,Craftsman Automation,,CRAFTSMAN,
INE00M201021,542760,SWSOLAR,,SWSOLAR,,Sterling & Wilson Renewable Energy,,SWSOLAR,
INE00M901018,544232,INTERARCH,,INTERARCH,,Interarch Building Solutions,,INTERARCH,
INE00MT01022,212075,SAJHOTELS,,SAJHOTELS,,Saj Hotels,,SAJHOTELS,
INE00N401018,205786,JAKHARIA,,JAKHARIA,,Jakharia Fabric,,JAKHARIA,
INE00NH01017,210567,CLSL,,CLSL,,Crop Life Science,,CLSL,
INE00NI01015,201277,UCL,,UCL,,Ushanti Colour Chem,,UCL,
INE00OQ01016,543687,DHARMAJ,,DHARMAJ,,Dharmaj Crop Guard,,DHARMAJ,
INE00PV01013,202065,AHLADA,,AHLADA,,Ahlada Engineers,,AHLADA,
INE00Q901014,542034,SMGOLD,,,,SM Gold,,SMGOLD,
INE00QT01015,541929,SGIL,,SGIL,,Synergy Green Industries,,SGIL,
INE00R701025,542216,DALBHARAT,,DALBHARAT,,Dalmia Bharat,,DALBHARAT,
INE00RL01028,544477,HILINFRA,,HILINFRA,,Highway Infrastructure,,HILINFRA,
INE00RQ01019,205653,MINDPOOL,,MINDPOOL,,Mindpool Technologies,,MINDPOOL,
INE00S901012,542231,NILASPACES,,NILASPACES,,Nila Spaces,,NILASPACES,
INE00ST01011,544335,BRGIL,,,,B.R.Goyal Infrastructure,,BRGIL,
INE00SW01015,542057,BCPL,,,,BCPL Railway Infrastructure,,BCPL,
INE00SY01011,541701,SUPERSHAKT,,,,Supershakti Metaliks,,SUPERSHAKT,
INE00TV01023,543828,SUDARSHAN,,,,Sudarshan Pharma Industries,,SUDARSHAN,
INE00U401027,544227,UNIECOM,,UNIECOM,,Unicommerce eSolutions,,UNIECOM,
INE00U801010,205337,PARIN,,PARIN,,Parin Enterprises,,PARIN,
INE00UG01014,202216,KHFM,,KHFM,,KHFM Hospitality,,KHFM,
INE00VM01036,541974,MANORAMA,,MANORAMA,,Manorama Industries,,MANORAMA,
INE00WC01027,542752,AFFLE,,AFFLE,,Affle 3i,,AFFLE,
INE00WS01056,208776,GSTL$,,GSTL,,Globesecure Technologies,,GSTL$,
INE00WY01013,541703,RACONTEUR,,,,Raconteur Global Resources,,RACONTEUR,
INE00Y201027,544030,FLAIR,,FLAIR,,Flair Writing Industries,,FLAIR,
INE00Y801016,202866,AKG,,AKG,,AKG Exim,,AKG,
INE00YB01025,544281,ABINFRA,,ABINFRA,,AB Infrabuild,,ABINFRA,
INE00YJ01010,544534,JARO,,JARO,,Jaro Inst of Tech Mgmt & Research,,JARO,
INE00Z501029,209061,KRITIKA,,KRITIKA,,Kritika Wires,,KRITIKA,
INE00ZE01026,543712,AFSL,,AFSL,,Abans Financial Services,,AFSL,
INE010601016,544122,ENTERO,,ENTERO,,Entero Healthcare Solutions,,ENTERO,
INE010A01011,500338,PRSMJOHNSN,,PRSMJOHNSN,,Prism Johnson,,PRSMJOHNSN,
INE010B01027,532321,ZYDUSLIFE,,ZYDUSLIFE,,Zydus Life Science,,ZYDUSLIFE,
INE010C01025,523558,SWISSMLTRY,,,,Swiss Military Consumer Goods,,SWISSMLTRY,
INE010J01012,540595,TEJASNET,,TEJASNET,,Tejas Networks,,TEJASNET,
INE010R01023,538706,ULTRACAB,,,,Ultracab,,ULTRACAB,
INE010V01017,540115,LTTS,,LTTS,,L&T Technology Services,,LTTS,
INE011D01013,526117,SHERVANI,,,,Shervani Industrial Syndicate,,SHERVANI,
INE011E01029,531112,BALUFORGE,,BALUFORGE,,Balu Forge Industries,,BALUFORGE,
INE011K01018,543413,TEGA,,TEGA,,Tega Industries,,TEGA,
INE011R01013,538713,ATISHAY,,,,Atishay,,ATISHAY,
INE012A01025,500410,ACC,,ACC,,ACC,,ACC,
INE012E01035,530959,DIANATEA,,,,Diana Tea Company,,DIANATEA,
INE012Q01021,538119,RNBDENIMS,,RNBDENIMS,,R&B Denims,,RNBDENIMS,
INE013801027,209192,KSHITIJPOL,,KSHITIJPOL,,Kshitij Polyline,,KSHITIJPOL,
INE013E01017,508941,PANCARBON,,,,Panasonic Carbon,,PANCARBON,
INE013J01016,513369,KVFORGE,,,,Krishnaveer Forge,,KVFORGE,
INE013P01021,544292,ONESOURCE,,ONESOURCE,,Onesource Specialty Pharma,,ONESOURCE,
INE013V01011,543963,SHELTER,,,,Shelter Pharma,,SHELTER,
INE014B01011,506680,TECILCHEM,,TECILCHEM,,Tecil Chemicals & Hydro Power,,TECILCHEM,
INE014E01015,507598,KLRFM,,,,Kovilpatti Lakshmi Roller,,KLRFM,
INE015B01018,526586,WIMPLAST,,,,Wim Plast,,WIMPLAST,
INE015C01016,530475,TINNARUBR,,TINNARUBR,,Tinna Rubber & Infrastructure,,TINNARUBR,
INE015D01022,532932,MANAKSIA,,MANAKSIA,,Manaksia,,MANAKSIA,
INE015E01012,531255,PARAGONF,,,,Paragon Finance,,PARAGONF,
INE015F01019,530179,RSCINT,,,,RSC International,,RSCINT,
INE016A01026,500096,DABUR,,DABUR,,Dabur India,,DABUR,
INE016C01014,526823,RAJINFRA,,,,Rajeswari Infrastructure,,RAJINFRA,
INE016M01021,540789,DNAMEDIA,,DNAMEDIA,,Diligent Media Corporation,,DNAMEDIA,
INE016Q01014,538734,CEINSYSTECH,,,,Ceinsys Tech,,CEINSYSTECH,
INE016X01010,542176,ARYAN,,,,Aryan Share & Stock Brokers,,ARYAN,
INE017A01032,500620,GESHIP,,GESHIP,,Great Eastern Shipping Company,,GESHIP,
INE017C01012,530145,KISAN,,,,Kisan Mouldings,,KISAN,
INE017E01018,526871,INTECCAP,,,,Intec Capital,,INTECCAP,
INE017I01027,512399,SERA,,,,Sera Investments & Finance,,SERA,
INE017P01014,504356,ZMULTIPU,,,,Multipurpose Trading Agency,,ZMULTIPU,
INE017W01010,540393,SMLT,,SMLT,,Sarthak Metals,,SMLT,
INE018401013,543281,SUVIDHAA,,SUVIDHAA,,Suvidhaa Infoserve,,SUVIDHAA,
INE018A01030,500510,LT,,LT,,Larsen & Toubro,,LT,
INE018E01016,543066,SBICARD,,SBICARD,,SBI Cards,,SBICARD,
INE018S01016,543256,RFLL,,,,Rita Finance & Leasing,,RFLL,
INE019A01038,500228,JSWSTEEL,,JSWSTEEL,,JSW Steel,,JSWSTEEL,
INE019B01010,500422,TRANSCHEM,,,,Transchem,,TRANSCHEM,
INE019C01026,500184,HSCL,,HSCL,,Himadri Speciality Chemical,,HSCL,
INE019D01016,539383,MAHAVEER,,,,Mahaveer Infoway,,MAHAVEER,
INE019J01013,533259,SASTASUNDR,,SASTASUNDR,,Sastasundar Ventures,,SASTASUNDR,
INE01A001028,544202,STANLEY,,STANLEY,,Stanley Lifestyles,,STANLEY,
INE01A501027,541945,RANJEET,,,,Ranjeet Mechatronics,,RANJEET,
INE01B501018,541865,ASRL,,,,Add Shop e-Retail,,ASRL,
INE01BK01022,543254,AWHCL,,AWHCL,,Antony Waste Handling Cell,,AWHCL,
INE01BL01012,542628,NSL,,,,Northern Spirits,,NSL,
INE01BT01015,543934,MACIND,,,,Machhar Industries,,MACIND,
INE01C001026,542580,AARTECH,,AARTECH,,Aartech Solonics,,AARTECH,
INE01EA01019,544307,VMM,,VMM,,Vishal Mega Mart,,VMM,
INE01EE01011,543668,BBTCL,,BBTCL,,B&B Triplewall Containers,,BBTCL,
INE01EG01016,542383,RITCO,,RITCO,,Ritco Logistics,,RITCO,
INE01EO01010,544386,SPECTRUM,,SPECTRUM,,Spectrum Electrical Industries,,SPECTRUM,
INE01FR01028,544243,STYLEBAAZA,,STYLEBAAZA,,Baazar Style Retail,,STYLEBAAZA,
INE01GN01025,210539,IRISDOREME,,IRISDOREME,,Iris Clothings,,IRISDOREME,
INE01GR01018,542155,DGL,,,,Diksha Greens,,DGL,
INE01GZ01011,542627,CHANDNIMACH,,,,Chandni Machines,,CHANDNIMACH,
INE01IH01015,211713,SYLVANPLY,,SYLVANPLY,,Sylvan Plyboard,,SYLVANPLY,
INE01II01013,205873,SILGO,,SILGO,,Silgo Retail,,SILGO,
INE01IU01018,541967,SKYGOLD,,SKYGOLD,,Sky Gold And Diamonds,,SKYGOLD,
INE01J501010,542019,SHUBHAM,,,,Shubham Polyspin,,SHUBHAM,
INE01JE01028,207697,MARINE,,MARINE,,Marine Electricals,,MARINE,
INE01K301012,542682,HARISH,,,,Harish Textile Engineers,,HARISH,
INE01KI01027,543670,VINNY,,VINNY,,Vinny Overseas,,VINNY,
INE01NE01012,542232,SRD,,SRD,,Shankar Lal Rampal Dye Chem,,SRD,
INE01P501012,542367,XELPMOC,,XELPMOC,,Xelpmoc Design & Tech,,XELPMOC,
INE01QM01018,543533,EMUDHRA,,EMUDHRA,,eMudhra,,EMUDHRA,
INE01R501028,544496,VIKRAN,,VIKRAN,,Vikran Engineering,,VIKRAN,
INE01TL01014,509470,BOMOXY-B1,,,,Bombay Oxygen,,BOMOXY-B1,
INE01TY01017,544583,CANHLIFE,,CANHLIFE,,Canara HSBC Life Insurance Company,,CANHLIFE,
INE01YQ01013,211974,AUSL,,AUSL,,Aditya Ultra Steel,,AUSL,
INE01Z401013,201806,SHUBHLAXMI,,SHUBHLAXMI,,Shubhlaxmi Jewel Art,,SHUBHLAXMI,
INE01ZJ01015,200566,SURANI,,SURANI,,Surani Steel Tubes,,SURANI,
INE020801028,542337,SPENCERS,,SPENCERS,,Spencer's Retail,,SPENCERS,
INE020B01018,532955,RECLTD,,RECLTD,,REC,,RECLTD,
INE020D01022,511724,BAIDFIN,,BAIDFIN,,Baid Finserv,,BAIDFIN,
INE020G01017,532774,INSPIRISYS,,INSPIRISYS,,Inspirisys Solutions,,INSPIRISYS,
INE020J01029,532980,GOKUL,,GOKUL,,Gokul Refoils & Solvent,,GOKUL,
INE020S01012,526073,GALXBRG,,,,Galaxy Bearings,,GALXBRG,
INE021A01026,500820,ASIANPAINT,,ASIANPAINT,,Asian Paints,,ASIANPAINT,
INE021N01011,530267,ARIGATO,,,,Arigato Universe,,ARIGATO,
INE021O01019,543306,DODLA,,DODLA,,Dodla Dairy,,DODLA,
INE022C01012,521014,EUROTEXIND,,EUROTEXIND,,Eurotex Industries & Exports,,EUROTEXIND,
INE022I01019,532888,ASIANTILES,,ASIANTILES,,Asian Granito,,ASIANTILES,
INE022Q01020,540750,IEX,,IEX,,Indian Energy Exchange,,IEX,
INE023A01030,532256,NSIL,,NSIL,,Nalwa Sons Investments,,NSIL,
INE023H01027,532649,NECLIFE,,NECLIFE,,Nectar Lifesciences,,NECLIFE,
INE023M01027,533605,SETUINFRA,,SETUINFRA,,Setubandhan Infrastructure,,SETUINFRA,
INE023R01018,539661,ACEMEN,,,,Ace Men Engg Works,,ACEMEN,
INE024001021,543972,AEROFLEX,,AEROFLEX,,Aeroflex Industries,,AEROFLEX,
INE024B01010,531861,JOINDRE,,,,Joindre Capital Services,,JOINDRE,
INE024D01016,500342,PRUDMOULI,,PRUDMOULI,,Prudential Sugar Corporation,,PRUDMOULI,
INE024F01011,531201,SHILCTECH,,,,Shilchar Technologies,,SHILCTECH,
INE024L01027,533282,GRAVITA,,GRAVITA,,Gravita India,,GRAVITA,
INE025A01027,203559,CONSOFINVT,,CONSOFINVT,,Consolidated Finvest & Holdings,,CONSOFINVT,
INE025B01025,526729,GOLDIAM,,GOLDIAM,,Goldiam International,,GOLDIAM,
INE025D01013,526967,HEERAISP,,,,Heera Ispat,,HEERAISP,
INE025R01021,542919,ARTEMISMED,,ARTEMISMED,,Artemis Medicare Services,,ARTEMISMED,
INE026A01025,500690,GSFC,,GSFC,,Gujarat State Fertilizers & Chemicals,,GSFC,
INE026C01013,511535,NDASEC,,,,NDA Securities,,NDASEC,
INE026D01011,523475,LOTUSCHO,,,,Lotus Chocolate,,LOTUSCHO,
INE026I01010,509449,BHAGWOX,,,,Bhagwati Oxygen,,BHAGWOX,
INE026L01022,503663,TILAK,,,,Tilak Ventures,,TILAK,
INE027A01015,524230,RCF,,RCF,,Rashtriya Chemicals & Fertilizers,,RCF,
INE027D01019,511658,NETTLINX,,,,Nettlinx,,NETTLINX,
INE027F01014,532217,CMXLTD,,,,CMX Holdings,,CMXLTD,
INE027H01010,543220,MAXHEALTH,,MAXHEALTH,,Max Healthcare Institute,,MAXHEALTH,
INE027S01017,539488,TFLL,,,,Tirupati Fin-Lease,,TFLL,
INE027T01023,539226,RUDRA,,,,Rudra Global Infra Products,,RUDRA,
INE028A01039,532134,BANKBARODA,,BANKBARODA,,Bank of Baroda,,BANKBARODA,
INE029A01011,500547,BPCL,,BPCL,,Bharat Petroleum,,BPCL,
INE029B01019,538922,COSYN,,,,COSYN,,COSYN,
INE029H01016,539117,SUJALA,,,,Sujala Trading & Holding,,SUJALA,
INE029L01018,533302,KICL,,KICL,,Kalyani Investment Company,,KICL,
INE029Q01017,209291,BAHETI,,BAHETI,,Baheti Recycling Industries,,BAHETI,
INE02A801020,543213,ROSSARI,,ROSSARI,,Rossari Biotech,,ROSSARI,
INE02AP01013,542145,RONI,,,,Roni Households,,RONI,
INE02AR01019,542437,ANMOL,,ANMOL,,Anmol,,ANMOL,
INE02BR01017,512213,CLASELE,,,,Classic Electricals,,CLASELE,
INE02BV01019,507952,SHIKHARLETR,,,,Shikhar Leasing & Trading,,SHIKHARLETR,
INE02C301011,509870,SHAHCON,,,,Shah Construction,,SHAHCON,
INE02CV01017,202144,DRSDILIP,,DRSDILIP,,DRS Dilip Roadlines,,DRSDILIP,
INE02EE01019,209236,IPSL,,IPSL,,Integrated Personnel Services,,IPSL,
INE02EZ01022,542285,AXITA,,AXITA,,Axita Cotton,,AXITA,
INE02GA01012,542721,ARL,,,,Anand Rayons,,ARL,
INE02H701025,544100,NOVAAGRI,,NOVAAGRI,,Nova Agritech,,NOVAAGRI,
INE02ID01020,544240,RAYMONDLSL,,RAYMONDLSL,,Raymond Lifestyle,,RAYMONDLSL,
INE02IJ01035,544061,AZAD,,AZAD,,Azad Engineering,,AZAD,
INE02KC01010,208299,JAINAM,,JAINAM,,Jainam Ferro Alloys,,JAINAM,
INE02L001032,544184,BOROSCI,,BOROSCI,,BOROSCI,,BOROSCI,
INE02NC01014,543386,FINOPB,,FINOPB,,Fino Payments Bank,,FINOPB,
INE02OY01016,208791,RILINFRA,,RILINFRA,,Rachana Infrastructure,,RILINFRA,
INE02PC01027,542592,HBEL,,,,Humming Bird Education,,HBEL,
INE02PY01013,543212,BOROLTD,,BOROLTD,,Borosil,,BOROLTD,
INE02RE01045,544226,FIRSTCRY,,FIRSTCRY,,Firstcry (Brainbees Solutions),,FIRSTCRY,
INE02S501018,210924,SHREEOSFM,,SHREEOSFM,,Shree OSFM e-Mobility,,SHREEOSFM,
INE02WG01024,543449,WEL,,WEL,,Wonder Electricals,,WEL,
INE02XD01011,531918,HINDAPL,,,,Hindustan Appliances,,HINDAPL,
INE02YR01019,543626,EMIL,,EMIL,,Electronics Mart,,EMIL,
INE02Z901011,521003,SHVSUIT,,,,Shiva Suitings,,SHVSUIT,
INE02ZA01012,501479,SFTL,,,,Springform Technology,,SFTL,
INE030A01027,500696,HINDUNILVR,,HINDUNILVR,,Hindustan Unilever,,HINDUNILVR,
INE030C01015,523007,ANSALBU,,,,Ansal Buildwell,,ANSALBU,
INE030P01017,535916,ALSL,,,,Alacrity Securities,,ALSL,
INE030Q01015,538882,EMERALD,,,,Emerald Finance,,EMERALD,
INE030T01027,539428,TEJNAKSH,,,,Tejnaksh Healthcare,,TEJNAKSH,
INE030U01025,539788,KDML,,,,Khemani Distributors,,KDML,
INE031A01017,540530,HUDCO,,HUDCO,,HUDCO,,HUDCO,
INE031B01049,532331,AJANTPHARM,,AJANTPHARM,,Ajanta Pharma,,AJANTPHARM,
INE031G01022,531254,OPTIFIN,,,,Optimus Finance,,OPTIFIN,
INE032A01023,500020,BOMDYEING,,BOMDYEING,,Bombay Dyeing,,BOMDYEING,
INE032B01021,500337,PRIMESECU,,PRIMESECU,,Prime Securities,,PRIMESECU,
INE032E01017,530245,ARYAMAN,,,,Aryaman Financial Services,,ARYAMAN,
INE032Z01020,209123,BSHSL,,BSHSL,,Bombay Super Hybrid Seeds,,BSHSL,
INE033C01019,517477,ELNET,,,,Elnet Technologies,,ELNET,
INE033E01015,526251,MIDEASTP,,,,Mid East Portfolio Management,,MIDEASTP,
INE034A01011,500101,ARVIND,,ARVIND,,Arvind,,ARVIND,
INE034B01019,511441,GUJCRED,,,,Gujarat Credit,,GUJCRED,
INE034D01049,509220,PTL,,PTL,,PTL Enterprises,,PTL,
INE034F01010,524156,TCMLMTD,,,,TCM,,TCMLMTD,
INE034S01021,539301,ARVSMART,,ARVSMART,,Arvind SmartSpaces,,ARVSMART,
INE035801013,543743,AERONEU,,AERONEU,,Aeroflex Neu,,AERONEU,
INE035D01020,524667,SOTL,,SOTL,,Savita Oil Technologies,,SOTL,
INE035S01028,539195,POEL,,,,POCL Enterprises,,POEL,
INE036A01016,500390,RELINFRA,,RELINFRA,,Reliance Infrastructure,,RELINFRA,
INE036B01030,524226,GAEL,,GAEL,,Gujarat Ambuja Exports,,GAEL,
INE036D01028,590003,KARURVYSYA,,KARURVYSYA,,Karur Vysya Bank,,KARURVYSYA,
INE037A01022,500429,UNIENTER,,UNIENTER,,Uniphos Enterprises,,UNIENTER,
INE037B01020,512393,SHARDUL,,,,Shardul Securities,,SHARDUL,
INE037C01010,524808,PHYTO,,,,Phyto Chem,,PHYTO,
INE037Z01029,544315,CEWATER,,CEWATER,,Concord Enviro Systems,,CEWATER,
INE038A01020,500440,HINDALCO,,HINDALCO,,Hindalco Industries,,HINDALCO,
INE038B01010,524488,SVCIND,,,,SVC Industries,,SVCIND,
INE038F01029,532515,TVTODAY,,TVTODAY,,TV Today Network,,TVTODAY,
INE038N01015,530921,INTETHR,,,,INTEGRATED THERMOPLASTICS,,INTETHR,
INE039A01010,500106,IFCI,,IFCI,,IFCI,,IFCI,
INE039B01026,532324,CINEVISTA,,CINEVISTA,,Cinevista,,CINEVISTA,
INE039C01032,520051,JAMNAAUTO,,JAMNAAUTO,,Jamna Auto Industries,,JAMNAAUTO,
INE039D01014,539724,HYPERSOFT,,,,Hypersoft Technologies,,HYPERSOFT,
INE039O01029,544402,JASH,,JASH,,Jash Engineering,,JASH,
INE03CC01015,544355,JUBLCPL,,JUBLCPL,,Jubilant Agri & Consumer Products,,JUBLCPL,
INE03CM01014,542477,GLEAM,,,,GLEAM,,GLEAM,
INE03DD01011,544197,RETAIL,,RETAIL,,JHS Svendgaard Retail Ventures,,RETAIL,
INE03EI01018,544008,MAXESTATES,,MAXESTATES,,Max Estates,,MAXESTATES,
INE03HW01020,543958,VLEGOV,,VLEGOV,,VL E-Governance & IT Solutions,,VLEGOV,
INE03JI01017,542685,DGCONTENT,,DGCONTENT,,Digicontent,,DGCONTENT,
INE03JT01014,544179,GODIGIT,,GODIGIT,,Go Digit General Insurance,,GODIGIT,
INE03KJ01013,208611,SHIGAN,,SHIGAN,,Shigan Quantum Technologies,,SHIGAN,
INE03NU01014,544457,BRIGHOTEL,,BRIGHOTEL,,Brigade Hotel Ventures,,BRIGHOTEL,
INE03Q201024,543322,ALIVUS,,ALIVUS,,Alivus Life Sciences,,ALIVUS,
INE03QK01018,543064,COHANCE,,COHANCE,,Cohance Lifesciences,,COHANCE,
INE03RS01027,543268,DRCSYSTEMS,,DRCSYSTEMS,,DRC Systems India,,DRCSYSTEMS,
INE03V001013,542933,UNIVPHOTO,,UNIVPHOTO,,Universus Photo Imagings,,UNIVPHOTO,
INE03WT01017,542599,ROOPSHRI,,,,Roopshri Resorts,,ROOPSHRI,
INE03YM01018,543233,CHEMCON,,CHEMCON,,Chemcon Speciality Chemicals,,CHEMCON,
INE040A01034,500180,HDFCBANK,,HDFCBANK,,HDFC Bank,,HDFCBANK,
INE040D01038,522249,MAYURUNIQ,,MAYURUNIQ,,Mayur Uniquoters,,MAYURUNIQ,
INE040F01033,509040,NETLINK,,,,Netlink Solutions,,NETLINK,
INE040H01021,532667,SUZLON,,SUZLON,,Suzlon Energy,,SUZLON,
INE040M01013,533540,TREEHOUSE,,TREEHOUSE,,Tree House Education,,TREEHOUSE,
INE041A01016,500119,DHAMPURSUG,,DHAMPURSUG,,Dhampur Sugar Mills,,DHAMPURSUG,
INE041B01014,530723,ASITCFIN,,,,Asit C Mehta Financial Services,,ASITCFIN,
INE042A01014,500495,ESCORTS,,ESCORTS,,Escorts Kubota,,ESCORTS,
INE042B01012,532315,GROARC,,,,Groarc Industries,,GROARC,
INE042C01010,530973,ALFAICA,,,,Alfa ICA,,ALFAICA,
INE043A01012,500160,GTL,,GTL,,GTL,,GTL,
INE043B01028,517393,VINTRON,,,,Vintron Informatics,,VINTRON,
INE043C01018,507580,IVP,,IVP,,IVP,,IVP,
INE043R01016,542544,JYOTIN,,,,Jyot International Marketing,,JYOTIN,
INE043U01010,539800,CHDCHEM,,,,CHD Chemicals,,CHDCHEM,
INE043W01024,543350,VIJAYA,,VIJAYA,,Vijaya Diagnostic Centre,,VIJAYA,
INE044A01036,524715,SUNPHARMA,,SUNPHARMA,,Sun Pharmaceutical,,SUNPHARMA,
INE044N01021,507265,EMERALL,,,,Emerald Leisures,,EMERALL,
INE045601023,543367,PARAS,,PARAS,,Paras Defence Space Tech,,PARAS,
INE045A01017,517041,ADOR,,ADOR,,Ador Welding,,ADOR,
INE045B01015,504112,NELCO,,NELCO,,NELCO,,NELCO,
INE045J01034,6198,,,FCL,,Fineotex Chemical,,FCL,
INE046A01015,523445,RIIL,,RIIL,,Reliance Industrial Infrastructure,,RIIL,
INE046E01025,506979,APTPACK,,,,APT Packaging,,APTPACK,
INE046M01036,531597,MIDPOLY,,,,Midland Polymers,,MIDPOLY,
INE046W01019,544055,MUTHOOTMF,,MUTHOOTMF,,Muthoot Microfin,,MUTHOOTMF,
INE047A01021,500300,GRASIM,,GRASIM,,Grasim Industries,,GRASIM,
INE047B01011,532716,GILLANDERS,,GILLANDERS,,Gillanders Arbuthnot,,GILLANDERS,
INE047C01019,526301,MEDINOV,,,,Medinova Diagnostic Service,,MEDINOV,
INE047E01031,511092,JMDVL,,,,JMD Ventures,,JMDVL,
INE047O01014,535458,NIBL,,NIBL,,NRB Industrial Bearings,,NIBL,
INE048A01011,500449,HOCL,,,,Hindustan Organic Chemicals,,HOCL,
INE048B01035,507789,JAGSNPHARM,,JAGSNPHARM,,Jagsonpal Pharmaceuticals,,JAGSNPHARM,
INE048C01025,523796,VHLTD,,VHLTD,,Viceroy Hotels,,VHLTD,
INE048E01013,512063,WARDHEALTH,,,,Wardwizard Healthcare,,WARDHEALTH,
INE048G01026,532504,NAVINFLUOR,,NAVINFLUOR,,Navin Fluorine International,,NAVINFLUOR,
