isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector,change,oldisin,oldsecurityid,oldsymbol
INE0MWH01014,544545,TRUALT,,TRUALT,,Trualt Bioenergy,,TRUALT,,,new,,,
INE0NAZ01010,544447,SMARTWORKS,,SMARTWORKS,,Smartworks Coworking Spaces,,SMARTWORKS,,,new,,,
INE0NON01025,213479,SHKSIL,,SHKSIL,,Shri Hare-Krishna Sponge Iron,,SHKSIL,,,new,,,
INE0OUS01011,530757,SHENTRA,,,,Shentracon Chemicals,,SHENTRA,,,new,,,
INE0P6P01016,544499,CPEDU,,CPEDU,,Career Point Edutech,,CPEDU,,,new,,,
INE0PKD01011,544492,MEIL,,MEIL,,Mangal Electrical Industries,,MEIL,,,new,,,
INE0PLX01017,215186,GREENLEAF,,GREENLEAF,,Greenleaf Envirotech,,GREENLEAF,,,new,,,
INE0PTF01017,544452,SWASTIKAAL,,,,Swastika Castal,,SWASTIKAAL,,,new,,,
INE0PXC01024,213509,ETL,,ETL,,Emkay Tools,,ETL,,,new,,,
INE0QMV01017,544535,BHARATROHAN,,,,Bharatrohan Airborne Innovations,,BHARATROHAN,,,new,,,
INE0QP701017,544565,VALPLAST,,,,Valplast Technologies,,VALPLAST,,,new,,,
INE0QU501030,544560,SODHACAP,,,,Sodhani Capital,,SODHACAP,,,new,,,
INE0R8B01010,544487,PATELRMART,,PATELRMART,,Patel Retail,,PATELRMART,,,new,,,
INE0R8Q01018,544559,OML,,,,Om Metallogic,,OML,,,new,,,
INE0RDJ01019,544436,VANDAN,,,,Vandan Foods,,VANDAN,,,new,,,
INE0RTI01017,544498,OVAL,,,,Oval Projects Engineering,,OVAL,,,new,,,
INE0RYR01018,215180,SUBAHOTELS,,SUBAHOTELS,,Suba Hotels,,SUBAHOTELS,,,new,,,
INE0S3G01027,544550,PACEDIGITK,,PACEDIGITK,,Pace Digitek,,PACEDIGITK,,,new,,,
INE0S4R01014,544439,CRIZAC,,CRIZAC,,Crizac,,CRIZAC,,,new,,,
INE0S5T01017,544552,RDGAIL,,,,Rukmani Devi Garg Agro Impex,,RDGAIL,,,new,,,
INE0S9X01011,544431,ACEALPHA,,,,Ace Alpha Tech,,ACEALPHA,,,new,,,
INE0SC101013,544428,SEVL,,,,Supertech Ev,,SEVL,,,new,,,
INE0SFA01011,544585,SIHORA,,,,Sihora Industries,,SIHORA,,,new,,,
INE0SGZ01016,213482,SUNTECH,,SUNTECH,,Suntech Infra Solutions,,SUNTECH,,,new,,,
INE0SIK01014,544548,GPAPL,,,,Gujarat Peanut And Agri Products,,GPAPL,,,new,,,
INE0SJA01013,544521,VMSTMT,,VMSTMT,,VMS TMT,,VMSTMT,,,new,,,
